team_name,seed,region,slot
Duke,1,East,E1
Siena,16,East,E16
Ohio St.,8,East,E8
TCU,9,East,E9
St. John's,5,East,E5
N. Iowa,12,East,E12
Kansas,4,East,E4
Cal Baptist,13,East,E13
Louisville,6,East,E6
South Florida,11,East,E11
Michigan St.,3,East,E3
N. Dakota St.,14,East,E14
UCLA,7,East,E7
UCF,10,East,E10
UConn,2,East,E2
Furman,15,East,E15
Florida,1,South,S1
Prairie View A&M,16,South,S16
Clemson,8,South,S8
Iowa,9,South,S9
Vanderbilt,5,South,S5
McNeese,12,South,S12
Nebraska,4,South,S4
Troy,13,South,S13
North Carolina,6,South,S6
VCU,11,South,S11
Illinois,3,South,S3
Penn,14,South,S14
Saint Mary's,7,South,S7
Texas A&M,10,South,S10
Houston,2,South,S2
Idaho,15,South,S15
Arizona,1,West,W1
LIU,16,West,W16
Villanova,8,West,W8
Utah St.,9,West,W9
Wisconsin,5,West,W5
High Point,12,West,W12
Arkansas,4,West,W4
Hawaii,13,West,W13
BYU,6,West,W6
Texas,11,West,W11
Gonzaga,3,West,W3
Kennesaw St.,14,West,W14
Miami,7,West,W7
Missouri,10,West,W10
Purdue,2,West,W2
Queens,15,West,W15
Michigan,1,Midwest,M1
UMBC,16,Midwest,M16
Georgia,8,Midwest,M8
Saint Louis,9,Midwest,M9
Texas Tech,5,Midwest,M5
Akron,12,Midwest,M12
Alabama,4,Midwest,M4
Hofstra,13,Midwest,M13
Tennessee,6,Midwest,M6
SMU,11,Midwest,M11
Virginia,3,Midwest,M3
Wright St.,14,Midwest,M14
Kentucky,7,Midwest,M7
Santa Clara,10,Midwest,M10
Iowa St.,2,Midwest,M2
Tennessee St.,15,Midwest,M15
