team_name,adj_em,adj_t,luck
Duke,38.90,65.3,0.049
Arizona,37.66,69.8,0.023
Michigan,37.59,70.9,0.045
Florida,33.79,70.5,-0.036
Houston,33.43,63.3,-0.006
Iowa St.,32.42,66.5,-0.012
Illinois,32.10,65.5,-0.050
Purdue,31.20,64.4,-0.006
Michigan St.,28.31,66.0,0.005
Gonzaga,28.10,68.6,0.072
Connecticut,27.87,64.4,0.055
Vanderbilt,27.51,68.8,0.018
Virginia,26.71,65.7,0.056
Nebraska,26.16,66.7,0.034
Arkansas,26.05,71.0,0.051
Tennessee,26.02,65.0,-0.060
St. John's,25.91,69.6,0.061
Alabama,25.72,73.1,0.019
Louisville,25.42,69.6,-0.020
Texas Tech,25.22,66.2,0.006
Kansas,24.44,67.6,0.053
Wisconsin,23.39,68.7,0.041
BYU,23.25,69.9,-0.017
Saint Mary's,23.07,65.2,0.011
Iowa,22.44,63.0,-0.061
Ohio St.,22.24,66.1,-0.031
UCLA,21.67,64.6,0.017
Kentucky,21.48,68.3,-0.019
North Carolina,20.84,67.9,0.057
Utah St.,20.76,67.7,0.065
Miami FL,20.68,67.6,0.021
Georgia,20.48,71.4,-0.005
Villanova,19.97,65.2,0.067
N.C. State,19.60,69.1,-0.029
Santa Clara,19.40,69.2,0.015
Clemson,19.24,64.2,0.011
Texas,19.03,66.9,-0.083
Auburn,19.02,67.2,-0.053
Texas A&M,18.67,70.5,-0.002
Oklahoma,18.37,66.2,-0.070
Saint Louis,18.32,71.0,0.030
SMU,18.09,68.5,-0.043
TCU,17.59,67.7,0.004
Cincinnati,17.49,67.5,-0.073
VCU,17.21,68.5,-0.007
Indiana,17.18,66.1,-0.041
South Florida,16.39,71.5,-0.026
Missouri,15.39,66.2,0.041
Washington,15.12,67.1,-0.101
UCF,15.04,69.2,0.097
Akron,12.80,70.3,0.018
McNeese,12.48,66.2,0.084
Northern Iowa,11.81,62.3,-0.070
Hofstra,9.49,64.7,-0.052
High Point,8.40,69.9,0.048
Miami OH,8.26,69.9,0.099
Cal Baptist,5.99,65.8,0.091
UNLV,5.97,69.8,0.003
Hawaii,5.97,69.7,0.038
North Dakota St.,5.13,66.3,0.040
Wright St.,2.04,67.2,0.009
Troy,1.72,64.9,0.024
Idaho,1.53,67.7,-0.012
Penn,1.47,69.0,0.068
Kennesaw St.,0.57,71.2,0.009
Queens,-1.44,69.6,0.067
UMBC,-1.67,66.2,0.046
Tennessee St.,-1.83,70.2,0.070
Furman,-1.98,65.9,0.010
Siena,-2.10,64.6,0.005
Howard,-3.19,69.0,-0.010
LIU,-3.95,67.8,0.104
Lehigh,-10.37,66.9,0.081
Prairie View A&M,-10.69,70.9,0.013
